filepath,filename,file_size_mb,nrows,ncols,nlayers,resolution_x,resolution_y,crs_epsg,extent_xmin,extent_xmax,extent_ymin,extent_ymax,datatype,success,error,data_type,wri_domain,wri_layer_type,cog_filename,passes_assumptions,assumption_error
data/sense_of_place/iconic_species/indicators/sense_of_place_iconic_species_traits_resistance.tif,sense_of_place_iconic_species_traits_resistance.tif,457,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_species,NA,sense_of_place_iconic_species_traits_resistance.tif,TRUE,NA
data/sense_of_place/iconic_species/sense_of_place_iconic_species_domain_score.tif,sense_of_place_iconic_species_domain_score.tif,428,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,sense_of_place,domain_score,sense_of_place_iconic_species_domain_score.tif,TRUE,NA
data/sense_of_place/iconic_species/sense_of_place_iconic_species_resilience.tif,sense_of_place_iconic_species_resilience.tif,443,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,sense_of_place,resilience,sense_of_place_iconic_species_resilience.tif,TRUE,NA
data/sense_of_place/iconic_species/sense_of_place_iconic_species_resistance.tif,sense_of_place_iconic_species_resistance.tif,457,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,sense_of_place,resistance,sense_of_place_iconic_species_resistance.tif,TRUE,NA
data/sense_of_place/iconic_species/sense_of_place_iconic_species_status.tif,sense_of_place_iconic_species_status.tif,365,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,sense_of_place,status,sense_of_place_iconic_species_status.tif,TRUE,NA
data/species/indicators/species_recovery_range_area.tif,species_recovery_range_area.tif,984,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,species,recovery,species_recovery_range_area.tif,TRUE,NA
data/species/indicators/species_recovery_traits.tif,species_recovery_traits.tif,962,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,species,recovery,species_recovery_traits.tif,TRUE,NA
data/species/indicators/species_resistance_traits.tif,species_resistance_traits.tif,955,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,species,resistance,species_resistance_traits.tif,TRUE,NA
data/species/species_domain_score.tif,species_domain_score.tif,962,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,species,domain_score,species_domain_score.tif,TRUE,NA
data/species/species_resilience.tif,species_resilience.tif,967,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,species,resilience,species_resilience.tif,TRUE,NA
data/species/species_resistance.tif,species_resistance.tif,955,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,species,resistance,species_resistance.tif,TRUE,NA
data/species/species_status.tif,species_status.tif,740,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,species,status,species_status.tif,TRUE,NA
data/water/indicators/water_resistance_drought_plans.tif,water_resistance_drought_plans.tif,166,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,water,resistance,water_resistance_drought_plans.tif,TRUE,NA
data/water/indicators/water_resistance_water_treatment.tif,water_resistance_water_treatment.tif,227,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,water,resistance,water_resistance_water_treatment.tif,TRUE,NA
data/water/indicators/water_status_surface_water_quantity.tif,water_status_surface_water_quantity.tif,223,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,water,status,water_status_surface_water_quantity.tif,TRUE,NA
data/water/indicators/water_status_surface_water_timing.tif,water_status_surface_water_timing.tif,252,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,water,status,water_status_surface_water_timing.tif,TRUE,NA
data/water/water_domain_score.tif,water_domain_score.tif,323,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,water,domain_score,water_domain_score.tif,TRUE,NA
data/water/water_resilience.tif,water_resilience.tif,247,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,water,resilience,water_resilience.tif,TRUE,NA
data/water/water_resistance.tif,water_resistance.tif,247,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,water,resistance,water_resistance.tif,TRUE,NA
data/water/water_status.tif,water_status.tif,265,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,water,status,water_status.tif,TRUE,NA
